mipverify_time mipverify_results network_id eps sample_number
4.03 UNSAT MNIST 0.1 1
3.73 UNSAT MNIST 0.1 2
3.87 UNSAT MNIST 0.1 3
4.19 UNSAT MNIST 0.1 4
5.40 UNSAT MNIST 0.1 5
3.41 UNSAT MNIST 0.1 6
9.92 UNSAT MNIST 0.1 7
4.10 UNSAT MNIST 0.1 8
10.38 UNSAT MNIST 0.1 9
7.19 UNSAT MNIST 0.1 10
6.63 UNSAT MNIST 0.1 11
6.35 UNSAT MNIST 0.1 12
5.86 UNSAT MNIST 0.1 13
4.57 UNSAT MNIST 0.1 14
2.78 UNSAT MNIST 0.1 15
6.30 UNSAT MNIST 0.1 16
4.20 UNSAT MNIST 0.1 17
3.89 UNSAT MNIST 0.1 18
16.42 UNSAT MNIST 0.1 19
6.07 UNSAT MNIST 0.1 20
3.85 UNSAT MNIST 0.1 21
4.33 UNSAT MNIST 0.1 22
8.95 UNSAT MNIST 0.1 23
4.90 UNSAT MNIST 0.1 24
5.37 UNSAT MNIST 0.1 25
5.19 UNSAT MNIST 0.1 26
3.97 UNSAT MNIST 0.1 27
3.77 UNSAT MNIST 0.1 28
4.29 UNSAT MNIST 0.1 29
2.95 UNSAT MNIST 0.1 30
4.46 UNSAT MNIST 0.1 31
3.82 UNSAT MNIST 0.1 32
4.13 UNSAT MNIST 0.1 33
5.03 UNSAT MNIST 0.1 34
3.85 UNSAT MNIST 0.1 35
5.05 UNSAT MNIST 0.1 36
4.45 UNSAT MNIST 0.1 37
3.05 UNSAT MNIST 0.1 38
5.12 UNSAT MNIST 0.1 39
3.51 UNSAT MNIST 0.1 40
3.32 UNSAT MNIST 0.1 41
4.06 UNSAT MNIST 0.1 42
5.04 UNSAT MNIST 0.1 43
4.22 UNSAT MNIST 0.1 44
4.12 UNSAT MNIST 0.1 45
7.20 UNSAT MNIST 0.1 46
3.23 UNSAT MNIST 0.1 47
6.19 UNSAT MNIST 0.1 48
3.83 UNSAT MNIST 0.1 49
4.63 UNSAT MNIST 0.1 50
5.00 UNSAT MNIST 0.1 51
5.35 UNSAT MNIST 0.1 52
4.24 UNSAT MNIST 0.1 53
5.84 UNSAT MNIST 0.1 54
5.98 UNSAT MNIST 0.1 55
5.99 UNSAT MNIST 0.1 56
6.08 UNSAT MNIST 0.1 57
2.77 UNSAT MNIST 0.1 58
6.26 UNSAT MNIST 0.1 59
5.17 UNSAT MNIST 0.1 60
3.27 UNSAT MNIST 0.1 61
4.69 UNSAT MNIST 0.1 62
47.43 UNSAT MNIST 0.1 63
4.36 UNSAT MNIST 0.1 64
4.57 UNSAT MNIST 0.1 65
20.08 UNSAT MNIST 0.1 66
5.79 UNSAT MNIST 0.1 67
6.80 UNSAT MNIST 0.1 68
4.25 UNSAT MNIST 0.1 69
4.85 UNSAT MNIST 0.1 70
3.60 UNSAT MNIST 0.1 71
4.10 UNSAT MNIST 0.1 72
4.51 UNSAT MNIST 0.1 73
3.35 UNSAT MNIST 0.1 74
3.46 UNSAT MNIST 0.1 75
4.70 UNSAT MNIST 0.1 76
4.04 UNSAT MNIST 0.1 77
5.40 UNSAT MNIST 0.1 78
4.63 UNSAT MNIST 0.1 79
3.90 UNSAT MNIST 0.1 80
3.40 UNSAT MNIST 0.1 81
4.11 UNSAT MNIST 0.1 82
3.92 UNSAT MNIST 0.1 83
4.45 UNSAT MNIST 0.1 84
7.15 UNSAT MNIST 0.1 85
4.06 UNSAT MNIST 0.1 86
5.13 UNSAT MNIST 0.1 87
5.75 UNSAT MNIST 0.1 88
5.95 UNSAT MNIST 0.1 89
4.19 UNSAT MNIST 0.1 90
3.86 UNSAT MNIST 0.1 91
4.64 UNSAT MNIST 0.1 92
29.58 UNSAT MNIST 0.1 93
3.67 UNSAT MNIST 0.1 94
2.59 UNSAT MNIST 0.1 95
4.87 UNSAT MNIST 0.1 96
2.86 UNSAT MNIST 0.1 97
3.48 UNSAT MNIST 0.1 98
3.71 UNSAT MNIST 0.1 99
4.62 UNSAT MNIST 0.1 100
24.77 UNSAT MNIST 0.3 1
27.15 UNSAT MNIST 0.3 2
10.89 UNSAT MNIST 0.3 3
56.96 UNSAT MNIST 0.3 4
- Timeout MNIST 0.3 5
7.03 UNSAT MNIST 0.3 6
- Timeout MNIST 0.3 7
- Timeout MNIST 0.3 8
29.21 SAT MNIST 0.3 9
- Timeout MNIST 0.3 10
20.13 UNSAT MNIST 0.3 11
- Timeout MNIST 0.3 12
- Timeout MNIST 0.3 13
27.04 UNSAT MNIST 0.3 14
4.97 UNSAT MNIST 0.3 15
- Timeout MNIST 0.3 16
116.58 UNSAT MNIST 0.3 17
17.02 UNSAT MNIST 0.3 18
- Timeout MNIST 0.3 19
- Timeout MNIST 0.3 20
- Timeout MNIST 0.3 21
17.49 UNSAT MNIST 0.3 22
- Timeout MNIST 0.3 23
49.39 UNSAT MNIST 0.3 24
- Timeout MNIST 0.3 25
17.10 UNSAT MNIST 0.3 26
20.71 UNSAT MNIST 0.3 27
91.77 UNSAT MNIST 0.3 28
24.33 UNSAT MNIST 0.3 29
6.64 UNSAT MNIST 0.3 30
- Timeout MNIST 0.3 31
7.95 UNSAT MNIST 0.3 32
13.66 UNSAT MNIST 0.3 33
25.49 SAT MNIST 0.3 34
14.53 UNSAT MNIST 0.3 35
43.78 UNSAT MNIST 0.3 36
181.72 UNSAT MNIST 0.3 37
6.58 UNSAT MNIST 0.3 38
- Timeout MNIST 0.3 39
6.19 UNSAT MNIST 0.3 40
5.53 UNSAT MNIST 0.3 41
