SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,Misclassified,0,0,0,0.266585929
2,UNSAT,-0.4727192180386739,-0.22640792340650717,205.3333818912506,299.957204937
3,Timeout,-1.0110232645920827,2.032365501705401,300.01586389541626,510.160378893
4,Misclassified,0,0,0,0.261336413
5,Timeout,-0.2585907350209029,1.4368189263473703,300.0142500400543,539.413484905
6,Timeout,-0.4398342502705379,1.1508415746780982,300.0211009979248,554.134130517
7,Misclassified,0,0,0,0.253435844
8,Misclassified,0,0,0,0.241888943
9,Misclassified,0,0,0,0.244288102
10,Timeout,-0.09585712127136481,1.9479230808509418,300.0900299549103,486.453998734
11,Timeout,-0.5202067630936917,2.7050787510281302,300.02347111701965,527.793175678
12,Timeout,-0.9480237662693538,0.9235819342173962,300.0147750377655,483.042395123
13,Misclassified,0,0,0,0.248471151
14,UNSAT,-1.1818353779157134,-0.04353120636470953,6.028532981872559,81.919730955
15,Timeout,-0.5763847084643867,1.8352241981789943,300.0186629295349,533.775214393
16,Timeout,-1.6993639963374005,2.4011753384643373,300.01951694488525,495.123618894
17,Timeout,-0.7700400293495215,0.05591507021240366,300.0114769935608,419.826313092
18,Misclassified,0,0,0,0.245224924
19,UNSAT,-0.683671629131211,-0.15740237798251555,18.869123935699463,94.440368348
20,Timeout,-0.22904218968187573,1.3672151921151645,300.02538204193115,492.213180859
21,Misclassified,0,0,0,0.243473658
22,UNSAT,-0.7918186497391374,-0.3569803107559417,0.7640838623046875,20.32205148
23,Misclassified,0,0,0,0.250535855
24,Timeout,-0.23983487799874226,0.9498812073516016,300.01495909690857,482.599829775
25,Misclassified,0,0,0,0.242965686
26,Misclassified,0,0,0,0.238878861
27,Misclassified,0,0,0,0.239241761
28,Misclassified,0,0,0,0.241960485
29,Timeout,-0.5473846147675259,0.5170034052594447,300.01094913482666,462.638113294
30,Timeout,-0.43838008566132314,0.008042801305009561,300.01179003715515,453.99579552
31,Timeout,-0.05594529601895015,0.11106218261530465,300.0096890926361,481.45683849
32,Misclassified,0,0,0,0.250930769
33,Timeout,-0.23738812682596244,2.6697586951144867,300.01368713378906,532.897510513
34,SAT,0.24484036583809443,0.4722490214596655,278.39944982528687,431.20122618
35,UNSAT,-1.5112147061412096,-0.0412070806363938,259.4690639972687,447.537638215
36,Misclassified,0,0,0,0.240547662
37,Misclassified,0,0,0,0.238831123
38,Misclassified,0,0,0,0.242192213
39,Timeout,-0.4742850094739717,1.682930875447116,300.0186200141907,484.234770563
40,Timeout,-0.1647985219482767,3.8156246778885596,300.09700107574463,504.610779954
41,Misclassified,0,0,0,0.244166297
42,UNSAT,-0.3130618179890084,-0.12653496857390817,2.5120110511779785,92.675807919
43,Misclassified,0,0,0,0.243536945
44,Misclassified,0,0,0,0.251136331
45,SAT,0.14204588779184119,0.3593341979043496,89.25502896308899,164.297142432
46,Timeout,-1.2169789178323143,1.1187856609582516,300.0140690803528,456.53799937
47,Misclassified,0,0,0,0.241947783
48,Misclassified,0,0,0,0.238876952
49,Misclassified,0,0,0,0.244328669
50,UNSAT,-0.19782546983227367,-0.016580827488466898,294.30869007110596,454.377149724
51,UNSAT,-1.427095879451604,-0.11711396558850762,22.11921191215515,153.489671768
52,Timeout,-0.7293575915190755,2.4431451134349533,300.0142560005188,541.878638703
53,Misclassified,0,0,0,0.243999572
54,Misclassified,0,0,0,0.239662861
55,UNSAT,-1.101443734671526,-0.31232712188680745,279.4190630912781,435.354351441
56,Timeout,-1.016534417635226,1.7647186564319457,300.09605407714844,512.610881873
57,Misclassified,0,0,0,0.239780815
58,Misclassified,0,0,0,0.239657584
59,Misclassified,0,0,0,0.245849528
60,Misclassified,0,0,0,0.240341296
61,Timeout,-0.06985142708860415,1.4434845092719049,300.0155408382416,501.690485495
62,Misclassified,0,0,0,0.243997416
63,Misclassified,0,0,0,0.238880676
