SampleNumber,VerificationResult,ObjectiveValue,ObjectiveBound,MainSolveTime,TotalTime
1,UNSAT,-18.56331948955941,-10.009858374988871,0.06949615478515625,4.448392974
2,UNSAT,-30.158183886498428,-19.33633584840161,0.06454682350158691,3.036315126
3,UNSAT,-14.704946003462277,-6.072837449832117,0.06768989562988281,2.863966166
4,UNSAT,-23.745614802636254,-13.565277961726771,0.050926923751831055,2.893288988
5,UNSAT,-12.573791330548973,-1.3798754096108223,0.0797882080078125,3.718912149
6,UNSAT,-13.045738222636926,-6.5193160724904455,0.0864109992980957,2.579292467
7,UNSAT,-5.976739830504048,-0.4273867131883673,3.1931190490722656,6.731017394
8,UNSAT,-12.284019321940459,-0.697821906256181,0.0756981372833252,3.140108713
9,UNSAT,-3.902024663467434,-0.14795668759075956,3.1081230640411377,6.821248398
10,UNSAT,-21.4443678008315,-7.7490738162012605,0.0797419548034668,3.342994706
11,UNSAT,-31.700653035919213,-19.093359609246313,0.0986318588256836,4.605267329
12,UNSAT,-25.238027212389035,-9.219962386497244,0.24242091178894043,4.925011436
13,UNSAT,-16.763941565908198,-6.114693393384654,0.1983802318572998,4.347256018
14,UNSAT,-30.114492775879295,-20.25659073770275,0.0956120491027832,3.630177572
15,UNSAT,-19.72913285535965,-13.554539178227067,0.040132999420166016,2.127980356
16,UNSAT,-12.923856611240046,-4.763126479862901,0.19394707679748535,4.692536472
17,UNSAT,-16.400232451624742,-6.887456944426033,0.06149721145629883,3.148346836
18,UNSAT,-21.86897593433778,-12.61915733957077,0.0860590934753418,3.069772098
19,UNSAT,-0.495485601732931,-0.024442326708089587,5.8563690185546875,10.205942155
20,UNSAT,-27.236987551030598,-11.699759270177182,0.09911084175109863,3.507428886
21,UNSAT,-9.60971924327765,-0.4802695910227244,0.05777692794799805,2.986205397
22,UNSAT,-13.19917852775869,-1.7728083268342374,0.07497620582580566,3.416729736
23,UNSAT,-23.318175159494093,-5.116973900955982,0.27614283561706543,6.937979472
24,UNSAT,-29.062335294614716,-18.561851942977157,0.08156514167785645,3.837738976
25,UNSAT,-14.87380887533948,-0.6909686357291562,0.1926591396331787,4.004123564
