Idx,Eps,prop,SAT,Branches,Time(s)
5470,0.185,4,False,1698,37.93848943710327
7400,0.147,5,timeout,389936,3603.3471829891205
4522,0.122,7,False,32128,289.09263372421265
4425,0.241,5,False,1150,19.953766107559204
362,0.235,6,False,2016,19.737045526504517
4461,0.21,5,False,1054,14.434169054031372
6546,0.172,9,False,9934,99.78539276123047
349,0.197,4,False,1010,13.590177059173584
9441,0.185,0,False,1742,22.57233500480652
5402,0.228,8,False,2516,21.52478003501892
5569,0.09,1,timeout,362902,3603.8296551704407
6548,0.203,2,False,1404,25.217630624771118
3510,0.16,1,False,24,2.149949550628662
6524,0.122,9,timeout,398586,3603.8456676006317
559,0.172,1,False,892,10.739710330963135
6037,0.21,1,False,472,25.076551914215088
5501,0.122,4,timeout,354506,3604.8215539455414
3410,0.122,1,timeout,327142,3605.049400806427
2510,0.178,1,False,1308,18.067107915878296
3374,0.122,9,False,102,6.444488048553467
3057,0.185,8,False,800,12.23473572731018
6527,0.225,9,False,386,9.1017005443573
7166,0.164,7,False,440,9.214005708694458
409,0.185,7,timeout,364336,3604.4526586532593
2503,0.185,6,False,48562,421.1405107975006
4018,0.22,2,False,694,10.681567907333374
7467,0.147,2,False,2058,23.511181831359863
8314,0.072,4,False,42436,366.96875524520874
350,0.178,0,False,1158,16.462218284606934
9091,0.177,6,False,564,13.769298315048218
6519,0.197,1,False,1158,13.925880193710327
4478,0.21,9,False,756,15.932243585586548
6324,0.235,1,False,1010,11.979663372039795
5021,0.205,9,False,918,10.808438777923584
4567,0.128,3,False,114,6.867922782897949
4501,0.253,8,False,1136,15.922481298446655
4545,0.172,4,False,37524,377.80513858795166
3556,0.141,5,False,1796,25.30050301551819
8348,0.197,4,False,6,1.2795321941375732
7476,0.172,7,False,2616,27.647913455963135
146,0.138,9,False,368,7.810567617416382
5304,0.09,4,timeout,377634,3603.4165527820587
6313,0.21,2,False,726,13.34207010269165
2335,0.228,0,False,1810,16.906280040740967
3370,0.253,9,False,146,7.890982389450073
4440,0.061,6,timeout,296956,3603.4924845695496
3436,0.128,9,timeout,331550,3604.0987198352814
345,0.25,1,False,1792,22.185912370681763
5352,0.172,1,False,4144,47.291015625
3552,0.172,6,False,1728,18.058470010757446
5526,0.21,6,False,832,14.138627290725708
5463,0.1,7,False,99040,908.0351133346558
3141,0.21,2,False,606,10.840384006500244
1030,0.164,2,False,706,10.073799133300781
4455,0.2,4,False,554,13.787807703018188
4451,0.235,1,False,1178,15.502071380615234
4505,0.197,8,False,1072,17.562448501586914
3529,0.122,4,timeout,364246,3602.068348646164
4056,0.2,4,False,726,18.422882080078125
7414,0.141,9,False,4626,60.64527440071106
3536,0.219,4,False,1490,28.640494108200073
3435,0.097,3,timeout,343334,3604.369950771332
6503,0.103,4,False,354992,3117.312858104706
9326,0.128,2,False,37118,340.3457074165344
5556,0.122,3,False,12,2.08445405960083
5334,0.093,2,False,16944,154.8069257736206
1409,0.11,5,timeout,391958,3604.607597589493
8431,0.178,5,False,1152,29.246449947357178
371,0.247,3,False,1298,20.144997119903564
9416,0.185,2,False,812,15.9958336353302
4502,0.147,2,False,1424,28.152408599853516
160,0.234,1,False,626,19.49372625350952
2340,0.197,3,False,56,5.528843641281128
6047,0.2,7,False,768,12.805943012237549
9419,0.21,6,False,1566,33.589455127716064
2088,0.21,9,False,528,10.572383642196655
2349,0.172,1,False,135952,1244.1880333423615
7438,0.238,3,timeout,417704,3605.1121542453766
2310,0.09,4,timeout,350168,3603.614517688751
5307,0.147,9,False,4506,48.92041349411011
2043,0.14,4,False,22,2.1212499141693115
6303,0.135,1,False,6,1.2905330657958984
4185,0.215,5,False,6,1.2310504913330078
2553,0.181,7,False,900,22.03151822090149
9409,0.244,3,False,1066,15.83347463607788
7170,0.229,6,False,1006,13.142672777175903
1316,0.172,2,False,976,13.908161640167236
4555,0.191,2,False,4240,62.042744398117065
2314,0.141,6,timeout,388032,3604.6487624645233
510,0.16,2,False,1132,14.504971504211426
1545,0.115,2,False,12,2.1282296180725098
6457,0.197,1,False,1102,12.789610147476196
6480,0.216,8,False,1168,19.121240377426147
1447,0.144,2,False,2308,39.88938641548157
7345,0.178,3,timeout,371404,3603.5183386802673
8365,0.222,0,False,1198,31.280668020248413
2012,0.224,2,False,16,2.1363489627838135
4047,0.16,1,False,20,2.1044232845306396
3062,0.205,6,False,6,1.275960922241211
6516,0.185,1,False,1140,13.604579210281372
