Idx,Eps,prop,SAT,Branches,Time(s)
5470,0.185,4,False,2766,28.921379327774048
7400,0.147,5,timeout,310638,3606.9471683502197
4522,0.122,7,timeout,345472,3604.2076535224915
4425,0.241,5,False,3786,34.23883771896362
362,0.235,6,False,2700,22.049469232559204
4461,0.21,5,False,1648,16.17668867111206
6546,0.172,9,timeout,333690,3612.764457464218
349,0.197,4,False,1178,12.534358978271484
9441,0.185,0,False,2802,27.474148273468018
5402,0.228,8,False,3130,24.15551996231079
5569,0.09,1,timeout,313860,3605.430768728256
6548,0.203,2,False,2828,28.937945127487183
3510,0.16,1,False,906,11.267428874969482
6524,0.122,9,timeout,310878,3604.835027217865
559,0.172,1,False,996,12.109428644180298
6037,0.21,1,False,2150,29.25536823272705
5501,0.122,4,timeout,322592,3603.589690208435
3410,0.122,1,timeout,398062,3603.426971435547
2510,0.178,1,False,1534,19.599337339401245
3374,0.122,9,timeout,317014,3605.1328041553497
3057,0.185,8,False,884,12.789202690124512
6527,0.225,9,False,18418,163.84676146507263
7166,0.164,7,False,756,12.709547281265259
409,0.185,7,timeout,319966,3604.901516199112
2503,0.185,6,timeout,395112,3602.236768245697
4018,0.22,2,False,690,9.871635437011719
7467,0.147,2,False,3310,28.318705558776855
8314,0.072,4,timeout,350008,3602.803788661957
350,0.178,0,False,1400,15.882637977600098
9091,0.177,6,False,832,15.470110177993774
6519,0.197,1,False,1376,18.907344579696655
4478,0.21,9,False,2306,27.781087398529053
6324,0.235,1,False,1110,12.697844505310059
5021,0.205,9,False,1004,12.920029878616333
4567,0.128,3,False,21188,195.11506056785583
4501,0.253,8,False,2082,20.403974056243896
4545,0.172,4,False,28392,256.2934613227844
3556,0.141,5,False,3656,34.56802320480347
8348,0.197,4,False,2734,23.03055477142334
7476,0.172,7,False,5406,44.88532567024231
146,0.138,9,False,594,11.968524694442749
5304,0.09,4,timeout,312972,3605.565188884735
6313,0.21,2,False,1190,13.462379455566406
2335,0.228,0,False,2920,23.38281774520874
3370,0.253,9,False,4704,45.72549557685852
4440,0.061,6,timeout,305022,3605.8861920833588
3436,0.128,9,False,216438,2099.6275112628937
345,0.25,1,False,2916,26.93045210838318
5352,0.172,1,False,24352,187.33956336975098
3552,0.172,6,False,2152,21.171062707901
5526,0.21,6,False,1422,15.431746244430542
5463,0.1,7,False,67268,630.432270526886
3141,0.21,2,False,722,10.529200553894043
1030,0.164,2,False,758,10.642627000808716
4455,0.2,4,False,1576,19.459576845169067
4451,0.235,1,False,2732,25.438690423965454
4505,0.197,8,False,1374,17.054912090301514
3529,0.122,4,timeout,328392,3603.0772886276245
4056,0.2,4,False,1288,20.673396348953247
7414,0.141,9,timeout,344724,3605.7823429107666
3536,0.219,4,False,16306,143.621657371521
3435,0.097,3,timeout,344306,3603.612645626068
6503,0.103,4,False,114432,1066.5692551136017
9326,0.128,2,False,40438,347.1336205005646
5556,0.122,3,timeout,321322,3606.8604221343994
5334,0.093,2,False,13292,119.87563443183899
1409,0.11,5,timeout,341794,3605.595193862915
8431,0.178,5,False,23230,180.008850812912
371,0.247,3,False,2182,20.270779132843018
9416,0.185,2,False,1312,15.696645498275757
4502,0.147,2,False,3788,43.06739044189453
160,0.234,1,False,684,20.123135566711426
2340,0.197,3,False,1282,16.03661012649536
6047,0.2,7,False,910,13.933256149291992
9419,0.21,6,False,3292,36.73975968360901
2088,0.21,9,False,800,18.317410230636597
2349,0.172,1,timeout,310514,3604.649738550186
7438,0.238,3,timeout,322140,3603.041559934616
2310,0.09,4,timeout,349998,3600.583241224289
5307,0.147,9,False,24364,195.63725090026855
2043,0.14,4,False,950,13.532886743545532
6303,0.135,1,False,30462,265.99907326698303
4185,0.215,5,False,716,13.19960880279541
2553,0.181,7,False,1830,32.62583684921265
9409,0.244,3,False,1666,19.641680479049683
7170,0.229,6,False,1010,13.297866344451904
1316,0.172,2,False,1216,17.058257341384888
4555,0.191,2,False,6086,55.857871770858765
2314,0.141,6,timeout,305336,3603.0621774196625
510,0.16,2,False,1256,14.573410034179688
1545,0.115,2,False,66060,602.0889320373535
6457,0.197,1,False,1620,15.830495595932007
6480,0.216,8,False,4426,39.33897590637207
1447,0.144,2,False,3164,39.239479541778564
7345,0.178,3,False,137986,1330.9580969810486
8365,0.222,0,False,2530,31.721960067749023
2012,0.224,2,False,710,9.598176717758179
4047,0.16,1,False,1232,13.442235708236694
3062,0.205,6,False,1050,16.69956135749817
6516,0.185,1,False,1472,21.600374221801758
