Idx,Eps,prop,SAT,Branches,Time(s)
1033.0,0.103,8.0,False,328,27.673423290252686
8016.0,0.141,7.0,False,142,18.426884412765503
43.0,0.128,7.0,False,194,23.37525510787964
9001.0,0.106,7.0,False,310,19.159183979034424
6039.0,0.135,9.0,False,84,10.590707540512085
2104.0,0.135,2.0,False,78,12.393710851669312
5036.0,0.181,1.0,False,46,10.447409868240356
5009.0,0.1,4.0,False,154,18.215007543563843
8021.0,0.141,7.0,False,294,16.353477239608765
6033.0,0.151,6.0,False,198,21.469646692276
2045.0,0.11,7.0,False,214,19.532626628875732
7026.0,0.084,2.0,False,92,11.593601942062378
9010.0,0.122,1.0,False,576,56.30275559425354
104.0,0.178,3.0,False,22,5.707648038864136
4055.0,0.135,7.0,False,402,26.860467433929443
6058.0,0.147,9.0,False,82,16.22810411453247
1001.0,0.147,2.0,False,78,16.033495903015137
9037.0,0.16,3.0,False,36,8.50979208946228
5030.0,0.078,8.0,False,92,10.663399457931519
5040.0,0.172,7.0,False,86,36.6616849899292
51.0,0.063,4.0,False,61154,2801.9685084819794
7032.0,0.122,3.0,False,82,11.533004760742188
3007.0,0.122,8.0,False,176,16.666072607040405
5041.0,0.147,8.0,False,370,18.61956548690796
6048.0,0.16,2.0,False,182,15.781973123550415
3021.0,0.147,3.0,False,534,35.99945068359375
1041.0,0.122,6.0,False,242,35.43514347076416
41.0,0.178,5.0,False,62,8.70366907119751
8018.0,0.063,0.0,False,656,52.85850286483765
3102.0,0.084,2.0,False,74,15.1793851852417
7031.0,0.1,7.0,False,1824,103.39280223846436
2.0,0.122,0.0,False,102,9.78942584991455
6019.0,0.178,9.0,False,320,41.69727063179016
8023.0,0.097,4.0,False,76,14.155726909637451
8043.0,0.103,1.0,False,48,10.385110139846802
8000.0,0.16,2.0,False,144,14.65322470664978
2008.0,0.12,8.0,timeout,79782,3612.0498008728027
4031.0,0.11,8.0,False,110,11.72579050064087
9023.0,0.141,0.0,False,236,18.7727313041687
9022.0,0.128,2.0,False,252,21.58871054649353
2002.0,0.122,6.0,False,28,8.618443250656128
9016.0,0.084,9.0,False,36,9.555955648422241
3002.0,0.11,5.0,False,6010,290.27530884742737
1104.0,0.11,3.0,False,106,11.66809368133545
2112.0,0.135,2.0,False,326,21.1755850315094
6056.0,0.095,3.0,False,104,14.365435361862183
3022.0,0.16,1.0,False,328,16.53837490081787
2043.0,0.097,0.0,False,168,11.9546377658844
6010.0,0.061,7.0,False,138,12.831449508666992
2024.0,0.16,5.0,False,70,9.613293886184692
15.0,0.122,0.0,False,88,9.70336651802063
5012.0,0.122,0.0,False,328,29.264558792114258
7005.0,0.11,0.0,False,214,14.06520414352417
1102.0,0.09,4.0,False,56,9.533589363098145
7013.0,0.107,6.0,False,204,18.496713876724243
5027.0,0.165,6.0,False,32,9.520716190338135
3030.0,0.063,0.0,False,280,19.9614896774292
1009.0,0.122,9.0,False,264,17.949392795562744
7043.0,0.153,4.0,False,480,20.531564474105835
2012.0,0.16,8.0,False,188,19.643794775009155
4104.0,0.147,3.0,False,118,12.901558637619019
9028.0,0.084,9.0,False,44,8.828174114227295
6049.0,0.128,0.0,False,66,10.609259605407715
50.0,0.185,1.0,False,170,20.656214714050293
8035.0,0.108,6.0,False,80,10.587005615234375
2028.0,0.21,5.0,False,148,21.038374185562134
3028.0,0.11,7.0,False,178,11.38898777961731
2001.0,0.122,2.0,False,266,29.289742946624756
3012.0,0.1,2.0,False,48,8.716375350952148
9005.0,0.21,3.0,False,18,5.622363805770874
1006.0,0.16,2.0,False,98,10.691150665283203
7011.0,0.122,3.0,False,172,30.306501626968384
9014.0,0.09,5.0,False,74,10.522018432617188
2101.0,0.147,0.0,False,132,19.834915161132812
4022.0,0.122,3.0,False,36,9.37803030014038
4015.0,0.185,2.0,False,30,5.725854873657227
2107.0,0.178,8.0,False,16,4.762931823730469
2050.0,0.1,0.0,False,108,21.050771236419678
7025.0,0.11,9.0,False,188,20.17046284675598
0.0,0.11,2.0,False,196,14.954810619354248
2005.0,0.153,9.0,False,244,14.174001455307007
8002.0,0.128,5.0,False,886,45.5470404624939
8004.0,0.178,6.0,False,31180,901.7619540691376
4008.0,0.084,0.0,False,88,16.071181297302246
29.0,0.135,8.0,False,566,29.676661729812622
2119.0,0.122,9.0,False,768,70.84937834739685
9030.0,0.133,4.0,False,112,26.1926486492157
39.0,0.084,3.0,False,58,12.26411771774292
9.0,0.153,6.0,False,302,24.671655893325806
45.0,0.128,0.0,False,260,16.110771894454956
1029.0,0.16,0.0,False,214,20.457024574279785
7042.0,0.1,0.0,False,168,46.004167556762695
2011.0,0.135,3.0,False,254,17.00319242477417
4100.0,0.206,9.0,False,6,2.907738447189331
7001.0,0.21,8.0,False,270,26.25828504562378
9026.0,0.228,4.0,False,818,22.023086309432983
37.0,0.256,6.0,False,6,2.89100980758667
1011.0,0.172,5.0,False,278,21.670366048812866
6002.0,0.259,9.0,False,188,13.938836574554443
1013.0,0.228,0.0,False,800,30.212348461151123
