Idx,Eps,prop,SAT,Branches,Time(s)
2013,0.09,0,False,1614,39.927387952804565
4025,0.088,8,False,40264,410.73641180992126
5022,0.063,4,timeout,263820,3604.4220271110535
3021,0.09,0,False,2554,36.131104469299316
5021,0.172,7,False,2132,25.93813419342041
8008,0.122,8,timeout,266258,3603.899053812027
1060,0.128,7,timeout,292926,3603.485325574875
9058,0.082,3,False,47964,516.2785949707031
8001,0.135,8,False,1804,24.490492582321167
8037,0.141,8,False,12466,140.1443452835083
6056,0.122,0,timeout,246862,3602.9230568408966
105,0.153,8,False,19592,206.7213535308838
3034,0.078,0,timeout,274246,3601.878993034363
26,0.09,7,False,2498,35.325090408325195
9024,0.191,3,False,1638,22.17541742324829
3005,0.078,2,False,2586,35.427194118499756
9060,0.133,1,False,43922,439.74693536758423
1048,0.133,4,False,5182,67.10892486572266
2041,0.197,9,False,544,17.551595449447632
0,0.063,2,timeout,251518,3605.5622639656067
5000,0.21,8,False,988,14.673160791397095
7011,0.09,4,False,53254,613.924464225769
2045,0.122,5,False,1104,27.3835551738739
5043,0.145,1,False,4714,60.90949726104736
7046,0.103,8,False,3634,45.004262924194336
8002,0.16,8,False,650,10.755408525466919
2028,0.122,4,False,87394,997.7152445316315
5045,0.108,1,False,4784,54.82650446891785
6017,0.069,2,False,11164,123.65407085418701
6000,0.103,5,False,7284,94.2486822605133
3030,0.063,0,timeout,251340,3605.1151745319366
1021,0.072,7,False,8104,83.57367706298828
4021,0.122,4,False,3920,52.78565859794617
19,0.095,3,False,10190,109.7211971282959
5020,0.066,9,timeout,245110,3605.717059135437
5010,0.122,8,False,1730,23.929642915725708
9,0.076,9,False,32222,352.64292073249817
8052,0.147,2,False,904,19.25797152519226
4059,0.197,3,False,1946,32.88085579872131
4057,0.077,5,False,7046,85.22709679603577
8039,0.158,5,False,4982,59.00325298309326
8046,0.072,4,False,1508,24.883320569992065
8013,0.21,6,False,608,13.261323690414429
3001,0.21,6,False,944,12.957753896713257
6007,0.141,0,False,832,13.024930715560913
4015,0.128,3,False,51362,529.6178448200226
3002,0.191,8,False,966,17.912923574447632
8021,0.122,0,timeout,273844,3602.7774794101715
2052,0.122,9,False,11554,125.30977654457092
2016,0.084,5,False,1546,25.949833393096924
2043,0.141,2,False,648,11.256656408309937
1002,0.072,2,False,5990,78.00840830802917
100,0.084,6,False,1962,30.267545461654663
1005,0.122,8,False,500,16.3772075176239
7033,0.147,1,False,438,10.950277090072632
1054,0.079,6,False,7704,92.96608996391296
1025,0.104,9,False,89698,1023.2178087234497
4048,0.095,4,False,4794,60.53679823875427
4041,0.072,6,False,2656,40.28928565979004
34,0.172,5,False,346,12.632144927978516
1013,0.178,3,False,1534,21.826181650161743
6052,0.172,5,False,2152,32.35772442817688
8049,0.128,9,False,14272,157.54201769828796
8035,0.072,9,False,2926,35.48738098144531
7020,0.104,1,False,5522,65.10588359832764
6034,0.122,7,False,2934,39.98897409439087
4009,0.135,0,False,1610,20.845714807510376
7047,0.16,6,False,526,9.321500778198242
2014,0.15,4,False,898,18.356175661087036
25,0.133,5,False,25572,290.24555706977844
2040,0.106,1,timeout,307202,3603.1252715587616
104,0.185,6,False,740,13.06396484375
37,0.191,4,False,1286,17.321057081222534
3020,0.133,3,False,4132,47.412960052490234
7008,0.106,6,False,2756,38.24214839935303
7031,0.106,9,timeout,266616,3602.41006064415
3017,0.216,4,False,958,12.919301986694336
2024,0.097,9,False,22238,237.8799126148224
6019,0.141,7,False,23122,258.9544539451599
1044,0.191,5,False,1698,22.251627683639526
6043,0.063,7,False,48914,548.2901721000671
3042,0.135,0,False,1076,15.865174770355225
2009,0.131,8,False,3686,44.50303840637207
6031,0.093,4,False,11124,133.96014142036438
1012,0.101,5,False,3132,41.51322054862976
6039,0.159,5,False,8016,91.58973169326782
9004,0.083,0,False,6872,79.50493025779724
3049,0.147,8,False,618,10.945551633834839
1033,0.097,8,False,2742,36.65466856956482
9016,0.061,0,timeout,250114,3604.457399368286
15,0.096,5,False,5160,59.281578540802
6051,0.084,3,False,7072,82.57526898384094
4,0.097,3,False,8668,92.49200654029846
6025,0.069,5,False,15274,166.7516791820526
9018,0.084,7,False,10114,127.44570231437683
8056,0.106,6,False,2816,44.88216209411621
6020,0.078,4,False,2750,38.36736559867859
9037,0.135,6,False,694,17.201868534088135
8040,0.108,9,False,2152,34.55035185813904
18,0.178,2,timeout,314746,3602.0447990894318
