mipverify_time mipverify_results property_id network_id
- Timeout 1 1-1
- Timeout 1 1-2
- Timeout 1 1-3
- Timeout 1 1-4
- Timeout 1 1-5
- Timeout 1 1-6
- Timeout 1 1-7
62.35 UNSAT 1 1-8
86.62 UNSAT 1 1-9
- Timeout 1 2-1
- Timeout 1 2-2
- Timeout 1 2-3
- Timeout 1 2-4
- Timeout 1 2-5
- Timeout 1 2-6
- Timeout 1 2-7
- Timeout 1 2-8
- Timeout 1 2-9
- Timeout 1 3-1
- Timeout 1 3-2
- Timeout 1 3-3
- Timeout 1 3-4
- Timeout 1 3-5
- Timeout 1 3-6
- Timeout 1 3-7
- Timeout 1 3-8
- Timeout 1 3-9
- Timeout 1 4-1
- Timeout 1 4-2
- Timeout 1 4-3
- Timeout 1 4-4
- Timeout 1 4-5
- Timeout 1 4-6
- Timeout 1 4-7
- Timeout 1 4-8
- Timeout 1 4-9
- Timeout 1 5-1
- Timeout 1 5-2
- Timeout 1 5-3
- Timeout 1 5-4
- Timeout 1 5-5
- Timeout 1 5-6
- Timeout 1 5-7
- Timeout 1 5-8
- Timeout 1 5-9
- Timeout 2 1-1
- Timeout 2 1-2
- Timeout 2 1-3
- Timeout 2 1-4
- Timeout 2 1-5
125.49 SAT 2 1-6
- Timeout 2 1-7
- Timeout 2 1-8
- Timeout 2 1-9
21.86 SAT 2 2-1
145.67 SAT 2 2-2
10.00 SAT 2 2-3
20.02 SAT 2 2-4
11.32 SAT 2 2-5
12.28 SAT 2 2-6
19.51 SAT 2 2-7
15.44 SAT 2 2-8
- Timeout 2 2-9
9.59 SAT 2 3-1
- Timeout 2 3-2
- Timeout 2 3-3
9.71 SAT 2 3-4
12.69 SAT 2 3-5
- Timeout 2 3-6
- Timeout 2 3-7
110.51 SAT 2 3-8
14.67 SAT 2 3-9
- Timeout 2 4-1
- Timeout 2 4-2
11.07 SAT 2 4-3
- Timeout 2 4-4
14.34 SAT 2 4-5
14.35 SAT 2 4-6
11.48 SAT 2 4-7
15.68 SAT 2 4-8
50.52 SAT 2 4-9
13.18 SAT 2 5-1
10.78 SAT 2 5-2
- Timeout 2 5-3
10.57 SAT 2 5-4
16.04 SAT 2 5-5
15.22 SAT 2 5-6
16.50 SAT 2 5-7
20.79 SAT 2 5-8
19.19 SAT 2 5-9
3.38 UNSAT 3 1-1
1.22 UNSAT 3 1-2
5.72 UNSAT 3 1-3
0.32 UNSAT 3 1-4
0.22 UNSAT 3 1-5
0.12 UNSAT 3 1-6
0.09 SAT 3 1-7
0.08 SAT 3 1-8
0.06 SAT 3 1-9
0.89 UNSAT 3 2-1
0.81 UNSAT 3 2-2
2.23 UNSAT 3 2-3
0.08 UNSAT 3 2-4
0.24 UNSAT 3 2-5
0.13 UNSAT 3 2-6
0.18 UNSAT 3 2-7
0.09 UNSAT 3 2-8
0.06 UNSAT 3 2-9
0.22 UNSAT 3 3-1
2.54 UNSAT 3 3-2
0.50 UNSAT 3 3-3
1.17 UNSAT 3 3-4
0.23 UNSAT 3 3-5
0.77 UNSAT 3 3-6
0.06 UNSAT 3 3-7
0.22 UNSAT 3 3-8
0.12 UNSAT 3 3-9
0.57 UNSAT 3 4-1
1.27 UNSAT 3 4-2
1.35 UNSAT 3 4-3
0.31 UNSAT 3 4-4
0.10 UNSAT 3 4-5
0.79 UNSAT 3 4-6
0.15 UNSAT 3 4-7
0.19 UNSAT 3 4-8
0.29 UNSAT 3 4-9
1.39 UNSAT 3 5-1
0.26 UNSAT 3 5-2
0.44 UNSAT 3 5-3
0.22 UNSAT 3 5-4
0.34 UNSAT 3 5-5
0.27 UNSAT 3 5-6
0.06 UNSAT 3 5-7
0.20 UNSAT 3 5-8
0.09 UNSAT 3 5-9
0.81 UNSAT 4 1-1
0.71 UNSAT 4 1-2
1.52 UNSAT 4 1-3
0.26 UNSAT 4 1-4
0.33 UNSAT 4 1-5
0.25 UNSAT 4 1-6
0.07 SAT 4 1-7
0.09 SAT 4 1-8
0.06 SAT 4 1-9
0.77 UNSAT 4 2-1
0.93 UNSAT 4 2-2
0.19 UNSAT 4 2-3
0.25 UNSAT 4 2-4
0.32 UNSAT 4 2-5
0.35 UNSAT 4 2-6
0.18 UNSAT 4 2-7
1.84 UNSAT 4 2-8
0.08 UNSAT 4 2-9
0.36 UNSAT 4 3-1
0.24 UNSAT 4 3-2
0.14 UNSAT 4 3-3
0.23 UNSAT 4 3-4
0.53 UNSAT 4 3-5
0.42 UNSAT 4 3-6
0.15 UNSAT 4 3-7
0.46 UNSAT 4 3-8
0.36 UNSAT 4 3-9
0.11 UNSAT 4 4-1
0.46 UNSAT 4 4-2
0.43 UNSAT 4 4-3
2.61 UNSAT 4 4-4
0.29 UNSAT 4 4-5
0.34 UNSAT 4 4-6
0.17 UNSAT 4 4-7
0.33 UNSAT 4 4-8
0.39 UNSAT 4 4-9
0.34 UNSAT 4 5-1
0.25 UNSAT 4 5-2
0.60 UNSAT 4 5-3
0.26 UNSAT 4 5-4
0.28 UNSAT 4 5-5
0.23 UNSAT 4 5-6
0.13 UNSAT 4 5-7
0.33 UNSAT 4 5-8
0.23 UNSAT 4 5-9
- Timeout 5 1-1
- Timeout 6 1-1
- Timeout 7 1-9
- Timeout 8 2-9
- Timeout 9 3-3
- Timeout 10 4-5
