mipverify_time mipverify_results network_id eps sample_number
4.31 SAT MNIST2 0.02 1
0.58 UNSAT MNIST2 0.02 2
2.55 SAT MNIST2 0.02 3
0.59 UNSAT MNIST2 0.02 4
0.78 SAT MNIST2 0.02 5
1.02 UNSAT MNIST2 0.02 6
3.29 UNSAT MNIST2 0.02 7
4.53 UNSAT MNIST2 0.02 8
1.56 SAT MNIST2 0.02 9
0.79 UNSAT MNIST2 0.02 10
0.68 UNSAT MNIST2 0.02 11
0.92 UNSAT MNIST2 0.02 12
1.29 UNSAT MNIST2 0.02 13
0.87 UNSAT MNIST2 0.02 14
1.02 UNSAT MNIST2 0.02 15
1.04 UNSAT MNIST2 0.02 16
1.08 UNSAT MNIST2 0.02 17
1.77 UNSAT MNIST2 0.02 18
1.16 SAT MNIST2 0.02 19
1.12 UNSAT MNIST2 0.02 20
1.02 UNSAT MNIST2 0.02 21
3.57 UNSAT MNIST2 0.02 22
0.72 UNSAT MNIST2 0.02 23
0.86 UNSAT MNIST2 0.02 24
7.86 SAT MNIST2 0.02 25
20.68 SAT MNIST2 0.05 1
13.47 SAT MNIST2 0.05 2
68.44 SAT MNIST2 0.05 3
39.47 SAT MNIST2 0.05 4
11.25 SAT MNIST2 0.05 5
63.70 SAT MNIST2 0.05 6
5.16 SAT MNIST2 0.05 7
4.45 SAT MNIST2 0.05 8
2.50 SAT MNIST2 0.05 9
2.52 SAT MNIST2 0.05 10
2.86 UNSAT MNIST2 0.05 11
9.95 SAT MNIST2 0.05 12
1.88 SAT MNIST2 0.05 13
30.83 SAT MNIST2 0.05 14
341.35 SAT MNIST2 0.05 15
20.20 UNSAT MNIST2 0.05 16
14.08 SAT MNIST2 0.05 17
2.33 SAT MNIST2 0.05 18
0.87 SAT MNIST2 0.05 19
8.84 SAT MNIST2 0.05 20
1.22 SAT MNIST2 0.05 21
1.79 SAT MNIST2 0.05 22
6.07 UNSAT MNIST2 0.05 23
32.71 SAT MNIST2 0.05 24
19.39 SAT MNIST2 0.05 25
2.69 UNSAT MNIST4 0.02 1
1.67 UNSAT MNIST4 0.02 2
23.73 UNSAT MNIST4 0.02 3
1.70 UNSAT MNIST4 0.02 4
2.64 UNSAT MNIST4 0.02 5
8.14 UNSAT MNIST4 0.02 6
2.58 UNSAT MNIST4 0.02 7
- Timeout MNIST4 0.02 8
3.68 UNSAT MNIST4 0.02 9
1.95 UNSAT MNIST4 0.02 10
2.60 UNSAT MNIST4 0.02 11
2.07 UNSAT MNIST4 0.02 12
2.38 UNSAT MNIST4 0.02 13
2.02 UNSAT MNIST4 0.02 14
3.50 UNSAT MNIST4 0.02 15
2.48 UNSAT MNIST4 0.02 16
5.90 UNSAT MNIST4 0.02 17
1.82 UNSAT MNIST4 0.02 18
22.33 SAT MNIST4 0.02 19
4.14 UNSAT MNIST4 0.02 20
24.65 UNSAT MNIST4 0.02 21
3.01 UNSAT MNIST4 0.02 22
2.33 UNSAT MNIST4 0.02 23
2.21 UNSAT MNIST4 0.02 24
11.98 UNSAT MNIST4 0.02 25
- Timeout MNIST4 0.05 1
214.22 UNSAT MNIST4 0.05 2
- Timeout MNIST4 0.05 3
231.16 UNSAT MNIST4 0.05 4
- Timeout MNIST4 0.05 5
- Timeout MNIST4 0.05 6
- Timeout MNIST4 0.05 7
- Timeout MNIST4 0.05 8
- Timeout MNIST4 0.05 9
- Timeout MNIST4 0.05 10
- Timeout MNIST4 0.05 11
671.22 UNSAT MNIST4 0.05 12
- Timeout MNIST4 0.05 13
357.02 UNSAT MNIST4 0.05 14
- Timeout MNIST4 0.05 15
- Timeout MNIST4 0.05 16
- Timeout MNIST4 0.05 17
- Timeout MNIST4 0.05 18
- Timeout MNIST4 0.05 19
- Timeout MNIST4 0.05 20
- Timeout MNIST4 0.05 21
- Timeout MNIST4 0.05 22
- Timeout MNIST4 0.05 23
- Timeout MNIST4 0.05 24
- Timeout MNIST4 0.05 25
5.85 UNSAT MNIST6 0.02 1
3.23 UNSAT MNIST6 0.02 2
- Timeout MNIST6 0.02 3
3.30 UNSAT MNIST6 0.02 4
3.76 UNSAT MNIST6 0.02 5
25.24 UNSAT MNIST6 0.02 6
- Timeout MNIST6 0.02 7
12.00 UNSAT MNIST6 0.02 8
268.27 SAT MNIST6 0.02 9
2.89 UNSAT MNIST6 0.02 10
2.88 UNSAT MNIST6 0.02 11
6.11 UNSAT MNIST6 0.02 12
44.53 UNSAT MNIST6 0.02 13
4.46 UNSAT MNIST6 0.02 14
5.57 UNSAT MNIST6 0.02 15
4.23 UNSAT MNIST6 0.02 16
- Timeout MNIST6 0.02 17
4.16 UNSAT MNIST6 0.02 18
- Timeout MNIST6 0.02 19
3.11 UNSAT MNIST6 0.02 20
16.51 UNSAT MNIST6 0.02 21
5.37 UNSAT MNIST6 0.02 22
4.22 UNSAT MNIST6 0.02 23
6.48 UNSAT MNIST6 0.02 24
- Timeout MNIST6 0.02 25
- Timeout MNIST6 0.05 1
- Timeout MNIST6 0.05 2
- Timeout MNIST6 0.05 3
- Timeout MNIST6 0.05 4
- Timeout MNIST6 0.05 5
- Timeout MNIST6 0.05 6
- Timeout MNIST6 0.05 7
- Timeout MNIST6 0.05 8
- Timeout MNIST6 0.05 9
- Timeout MNIST6 0.05 10
- Timeout MNIST6 0.05 11
- Timeout MNIST6 0.05 12
- Timeout MNIST6 0.05 13
- Timeout MNIST6 0.05 14
- Timeout MNIST6 0.05 15
- Timeout MNIST6 0.05 16
- Timeout MNIST6 0.05 17
- Timeout MNIST6 0.05 18
- Timeout MNIST6 0.05 19
- Timeout MNIST6 0.05 20
- Timeout MNIST6 0.05 21
- Timeout MNIST6 0.05 22
- Timeout MNIST6 0.05 23
- Timeout MNIST6 0.05 24
- Timeout MNIST6 0.05 25
